#IATA_code,name,country,latitude,longitude
AMS,Amsterdam Schiphol,NL,null,null
AYT,Antalya,TR,null,null
ATL,Atlanta,US,null,null
BKK,Bangkok-Suvarnabhumi,TH,null,null
BCN,Barcelona,ES,41.297078,2.078463
BOS,Boston,US,null,null
CLT,Charlotte,US,35.214000,-80.943139
CTU,Chengdu,CN,null,null
ORD,Chicago O’Hare,US,null,null
DFW,Dallas/Fort Worth,US,null,null
DEN,Denver,US,null,null
DTW,Detroit,US,null,null
DXB,Dubai,AE,null,null
FRA,Frankfurt am Main,DE,50.026421,8.543125
CAN,Guangzhou,CN,null,null
HKG,Hongkong,HK,null,null
IAH,Houston,US,null,null
IST,Istanbul-Atatürk,TR,null,null
CGK,Jakarta,ID,null,null
KUL,Kuala Lumpur,MY,null,null
LAS,Las Vegas,US,null,null
LGW,London-Gatwick,UK,null,null
LHR,London-Heathrow,UK,51.477500,-0.461389
LAX,Los Angeles,US,33.942522,-118.407161
MAD,Madrid-Barajas,ES,null,null
MNL,Manila,PH,null,null
MEL,Melbourne,AU,null,null
MEX,Mexiko-Stadt,MX,null,null
MIA,Miami,US,25.793250,-80.290556
MSP,Minneapolis-Saint Paul,US,null,null
DME,Moskau-Domodedowo,RU,null,null
SVO,Moskau-Scheremetjewo,RU,null,null
MUC,München,DE,null,null
BOM,Mumbai,IN,null,null
DEL,Neu-Delhi-Indira Gandhi,IN,null,null
JFK,New York-John-F.-Kennedy,US,40.639751,-73.778926
LGA,New York-LaGuardia,US,null,null
EWR,New York-Newark,US,null,null
MCO,Orlando,US,null,null
CDG,Paris-Charles de Gaulle,FR,49.009722,2.547778
ORY,Paris-Orly,FR,null,null
PEK,Peking,CN,null,null
PHL,Philadelphia,US,null,null
PHX,Phoenix,US,null,null
FCO,Rom-Fiumicino,IT,null,null
SFO,San Francisco,US,null,null
GRU,São Paulo-Guarulhos,BR,null,null
SEA,Seattle-Tacoma,US,null,null
ICN,Seoul-Incheon,KR,null,null
SHA,Shanghai-Hongqiao,CN,null,null
PVG,Shanghai-Pudong,CN,null,null
SZX,Shenzhen,CN,null,null
SIN,Singapur,SG,null,null
SYD,Sydney,AU,null,null
TPE,Taiwan Taoyuan,TW,null,null
HND,Tokio-Haneda,JP,null,null
NRT,Tokio-Narita,JP,null,null
YYZ,Toronto,CA,null,null
